danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,genre
0.582,0.979,-2.492,0.0714,0.00152,0.339,0.196,128.01,progressivehouse
0.539,0.849,-5.846,0.0776,0.000262,0.223,0.432,127.968,progressivehouse
0.59,0.8,-5.044,0.0437,0.902,0.0512,0.219,127.994,progressivehouse
0.329,0.897,-4.818,0.0777,0.0,0.867,0.225,127.727,progressivehouse
0.622,0.939,-4.346,0.0596,0.841,0.0383,0.192,124.997,progressivehouse
0.502,0.756,-6.118,0.0363,0.769,0.377,0.062,128.125,progressivehouse
0.542,0.894,-2.879,0.0676,0.0,0.132,0.296,127.947,progressivehouse
0.518,0.866,-5.681,0.0355,0.0253,0.374,0.0538,128.014,progressivehouse
0.654,0.83,-4.801,0.0366,1.13e-06,0.121,0.548,124.989,progressivehouse
0.557,0.861,-5.728,0.0374,0.532,0.0672,0.176,126.028,progressivehouse
0.518,0.746,-4.831,0.0436,3.56e-06,0.633,0.255,128.075,progressivehouse
0.422,0.711,-4.809,0.0385,0.0,0.559,0.321,128.066,progressivehouse
0.414,0.486,-6.431,0.0311,0.0,0.111,0.368,128.038,progressivehouse
0.784,0.698,-5.767,0.0298,0.000712,0.241,0.723,125.002,progressivehouse
0.642,0.771,-5.008,0.0517,0.0,0.313,0.27,128.0,progressivehouse
0.713,0.914,-4.043,0.203,0.0,0.111,0.489,128.132,progressivehouse
0.493,0.907,-5.817,0.237,4.59e-06,0.622,0.378,128.091,progressivehouse
0.494,0.767,-4.101,0.051,0.0,0.374,0.112,125.506,progressivehouse
0.51,0.897,-3.138,0.0744,0.0,0.218,0.313,128.002,progressivehouse
0.56,0.693,-4.314,0.0576,0.0,0.342,0.418,128.044,progressivehouse
0.527,0.809,-4.037,0.0418,0.00983,0.104,0.309,127.925,progressivehouse
0.62,0.753,-7.511,0.0665,0.000421,0.362,0.0804,129.983,progressivehouse
0.619,0.721,-7.403,0.0853,0.0,0.145,0.257,128.056,progressivehouse
0.588,0.84,-3.659,0.0346,0.000389,0.0933,0.231,128.005,progressivehouse
0.473,0.765,-3.427,0.048,1.53e-06,0.072,0.271,129.989,progressivehouse
0.516,0.647,-4.64,0.0392,0.0,0.464,0.176,128.025,progressivehouse
0.65,0.889,-7.086,0.0793,0.528,0.178,0.199,127.934,progressivehouse
0.826,0.466,-7.521,0.0425,0.0092,0.0833,0.548,124.95,progressivehouse
0.525,0.849,-7.727,0.0484,0.00196,0.322,0.277,128.055,progressivehouse
0.534,0.849,-7.415,0.0678,0.508,0.552,0.398,125.009,progressivehouse
0.547,0.859,-3.762,0.0392,0.0,0.271,0.379,128.05,progressivehouse
