,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,title
701,0.648,0.9,10,-3.771,0,0.0791,0.00247,0.0638,0.0913,0.335,128.028,audio_features,7gKHPnLpX2X8XYB7HtTdg0,spotify:track:7gKHPnLpX2X8XYB7HtTdg0,https://api.spotify.com/v1/tracks/7gKHPnLpX2X8XYB7HtTdg0,https://api.spotify.com/v1/audio-analysis/7gKHPnLpX2X8XYB7HtTdg0,335714,4,progressivehouse,Harmony - Original Mix
702,0.49,0.936,11,-4.575,0,0.0772,0.0084,0.00446,0.316,0.0891,132.013,audio_features,7mTMSWgDsqzkeL5vyPwPPI,spotify:track:7mTMSWgDsqzkeL5vyPwPPI,https://api.spotify.com/v1/tracks/7mTMSWgDsqzkeL5vyPwPPI,https://api.spotify.com/v1/audio-analysis/7mTMSWgDsqzkeL5vyPwPPI,247386,4,progressivehouse,Haunted
703,0.467,0.925,4,-4.43,1,0.0792,0.00326,0.000106,0.107,0.342,128.034,audio_features,5tyymOcWpbYH54XPj8HHKv,spotify:track:5tyymOcWpbYH54XPj8HHKv,https://api.spotify.com/v1/tracks/5tyymOcWpbYH54XPj8HHKv,https://api.spotify.com/v1/audio-analysis/5tyymOcWpbYH54XPj8HHKv,200250,4,progressivehouse,Headlights
704,0.709,0.79,1,-5.125,0,0.0346,0.00171,0.000188,0.0978,0.0542,128.022,audio_features,0lPOyXIHeWXbzpLSm11tL7,spotify:track:0lPOyXIHeWXbzpLSm11tL7,https://api.spotify.com/v1/tracks/0lPOyXIHeWXbzpLSm11tL7,https://api.spotify.com/v1/audio-analysis/0lPOyXIHeWXbzpLSm11tL7,277914,4,progressivehouse,Headlights - Julian Jordan Remix
705,0.548,0.765,3,-6.552,0,0.0722,0.00245,0.00115,0.292,0.419,128.03,audio_features,0LcVq7kKPp4RTkSPaOoChx,spotify:track:0LcVq7kKPp4RTkSPaOoChx,https://api.spotify.com/v1/tracks/0LcVq7kKPp4RTkSPaOoChx,https://api.spotify.com/v1/audio-analysis/0LcVq7kKPp4RTkSPaOoChx,218555,4,progressivehouse,Hear Me (feat. Christine Hoberg) [Radio Edit]
706,0.577,0.853,3,-4.298,0,0.0716,0.0282,7.61e-05,0.0796,0.381,127.988,audio_features,10bS5B75FKJyfjFOpugr7U,spotify:track:10bS5B75FKJyfjFOpugr7U,https://api.spotify.com/v1/tracks/10bS5B75FKJyfjFOpugr7U,https://api.spotify.com/v1/audio-analysis/10bS5B75FKJyfjFOpugr7U,326957,4,progressivehouse,Hear Me - BYNON Remix
707,0.608,0.91,2,-5.3,0,0.0714,0.00113,0.0751,0.911,0.0842,127.975,audio_features,1M600IE8ujvrGKcyAuMRED,spotify:track:1M600IE8ujvrGKcyAuMRED,https://api.spotify.com/v1/tracks/1M600IE8ujvrGKcyAuMRED,https://api.spotify.com/v1/audio-analysis/1M600IE8ujvrGKcyAuMRED,302000,4,progressivehouse,Heartbeat - Nicky Romero Edit
708,0.484,0.778,7,-6.209,0,0.0609,0.0463,0.0,0.745,0.162,127.959,audio_features,7vnajKaLKdnq667lPL9a7a,spotify:track:7vnajKaLKdnq667lPL9a7a,https://api.spotify.com/v1/tracks/7vnajKaLKdnq667lPL9a7a,https://api.spotify.com/v1/audio-analysis/7vnajKaLKdnq667lPL9a7a,224097,4,progressivehouse,Heart Of Gold
709,0.262,0.811,6,-4.454,0,0.0616,0.0102,0.000155,0.224,0.162,127.571,audio_features,6bhm0tlkqXcveeYBQ5Kn9n,spotify:track:6bhm0tlkqXcveeYBQ5Kn9n,https://api.spotify.com/v1/tracks/6bhm0tlkqXcveeYBQ5Kn9n,https://api.spotify.com/v1/audio-analysis/6bhm0tlkqXcveeYBQ5Kn9n,193125,4,progressivehouse,Heart Of The City
710,0.45,0.948,4,-2.163,1,0.0999,0.00597,0.0,0.278,0.243,128.065,audio_features,79ANOjDlZLY8IoOa9gxt2L,spotify:track:79ANOjDlZLY8IoOa9gxt2L,https://api.spotify.com/v1/tracks/79ANOjDlZLY8IoOa9gxt2L,https://api.spotify.com/v1/audio-analysis/79ANOjDlZLY8IoOa9gxt2L,201356,4,progressivehouse,Heart Of The City - Myon Signature Remix
711,0.594,0.683,0,-5.987,0,0.0357,0.00498,0.000526,0.105,0.162,127.905,audio_features,1I1pHtWeK5awRrpoEZiv56,spotify:track:1I1pHtWeK5awRrpoEZiv56,https://api.spotify.com/v1/tracks/1I1pHtWeK5awRrpoEZiv56,https://api.spotify.com/v1/audio-analysis/1I1pHtWeK5awRrpoEZiv56,300069,4,progressivehouse,Heaven
712,0.677,0.929,7,-3.917,0,0.0512,0.0444,0.228,0.101,0.205,126.019,audio_features,4vB3s2bUNReIrFFWVT4aN2,spotify:track:4vB3s2bUNReIrFFWVT4aN2,https://api.spotify.com/v1/tracks/4vB3s2bUNReIrFFWVT4aN2,https://api.spotify.com/v1/audio-analysis/4vB3s2bUNReIrFFWVT4aN2,284256,4,progressivehouse,Heaven - Radio Edit
713,0.538,0.897,5,-6.412,0,0.0503,0.00888,1.26e-06,0.16,0.153,127.982,audio_features,7knw3zemVxXjYJmIS98GPA,spotify:track:7knw3zemVxXjYJmIS98GPA,https://api.spotify.com/v1/tracks/7knw3zemVxXjYJmIS98GPA,https://api.spotify.com/v1/audio-analysis/7knw3zemVxXjYJmIS98GPA,280800,4,progressivehouse,Heaven - Original Mix
714,0.667,0.773,2,-2.263,1,0.0505,0.00462,2.64e-05,0.15,0.285,125.973,audio_features,6wDPn9E6hYBsMiCNkE4Wuo,spotify:track:6wDPn9E6hYBsMiCNkE4Wuo,https://api.spotify.com/v1/tracks/6wDPn9E6hYBsMiCNkE4Wuo,https://api.spotify.com/v1/audio-analysis/6wDPn9E6hYBsMiCNkE4Wuo,348571,4,progressivehouse,Shadow of the Sun - Mako Remix
715,0.557,0.861,6,-5.728,0,0.0374,0.0223,0.532,0.0672,0.176,126.028,audio_features,7q7auGTn2flEH9urOSz8W3,spotify:track:7q7auGTn2flEH9urOSz8W3,https://api.spotify.com/v1/tracks/7q7auGTn2flEH9urOSz8W3,https://api.spotify.com/v1/audio-analysis/7q7auGTn2flEH9urOSz8W3,232438,4,progressivehouse,Shadows
716,0.585,0.72,9,-4.516,1,0.0318,0.0877,0.00117,0.219,0.2,127.981,audio_features,29hAeV2qrNlvO5MJ8hYi5n,spotify:track:29hAeV2qrNlvO5MJ8hYi5n,https://api.spotify.com/v1/tracks/29hAeV2qrNlvO5MJ8hYi5n,https://api.spotify.com/v1/audio-analysis/29hAeV2qrNlvO5MJ8hYi5n,189428,4,progressivehouse,Shallows
717,0.61,0.706,6,-5.438,0,0.0408,0.395,0.0659,0.286,0.281,128.001,audio_features,158EzhADD0j9rMk0pMWnkq,spotify:track:158EzhADD0j9rMk0pMWnkq,https://api.spotify.com/v1/tracks/158EzhADD0j9rMk0pMWnkq,https://api.spotify.com/v1/audio-analysis/158EzhADD0j9rMk0pMWnkq,166875,4,progressivehouse,Shanghai
